score,review,sentiment
6, 영화는 괜찮음 생각보다 근데 얘네는 왜 핵얘기 나올때마다 지들이 진주만 공격한건 생각을 안하지 미국을 악의축으로 그리고 일본은 억울하게 당하는 피해자처럼 그려내는게 참 환상적이네 ,1
10, 관람객 이시하라 사토미 예쁘다 ,1
1, 이래서 일본은 애니를 보나보다 ,0
3, 호불호 소리는 많이 들었지만 난 불호다 고질라가 때려부수는거 보러갔더니 일본애들이 입만 엄청나게 터는 영화임 ,0
1, 야 진짜 무슨 구연동화냐 겁나 허접한게 느껴짐 ,0
1, 뭐 인도를 위한 왕국정치 니들이 시작한 전쟁은 어떻게 보면 일뽕 영홥니다 ,0
3, CG가 부족한건 어쩔수 없다 지만 지루한건 못참겠다 정치풍자극으로 갈꺼면 고질라는 왜필요한가 ,0
8, 양심상으로 cg론 못까내리겠다 내용면에서는 국가재난시스템 구조를 잘 알 수 있어서 좋았고 신파가 없어서 좋았음 고질라 가공격하는 연출은 해외에서도 호평이 많다 근데 마지막 장면인 꼬리는 머냐 누 ,1
1, 일본특유의 오글거리는 연기를 견디지 못하면 관람을 포기해야할지도 모름 ,0
1, 정체불명의 괴수 그것을 담은 정체불명의 영화 ,0
10, 정치풍자극같은 느낌의 재해영화로서는 충분한 수작 고전적인 괴수영화로서도 수작 퍼시픽림이나 2014고질라같은 걸 기대하는 사람들에겐 망작 어차피 해외에서는 안 먹히는 감성의 작품입니다 ,1
1, 이걸 2시간 가까이 본 내가 대단해서 ,0
6, 고질라 음독살해 ,1
1, 덕후에의한 덕후만을 위한 일반인은 눈이썩음 ,0
3, 저렇게 팔이 짧은 진화라면 자살하겠다 ,0
6, 관료제 까는게 많다길래봤음 관료제 문서주의는 잘깠는데 교묘하게 전쟁피해의식을 슬그머니 쳐넣더라 ,1
1, 우경화 옹호 작품이라 보는내내 껄끄러웠다 단지 재난 괴수 영화가 아닌제대로 전쟁 준비를 하지 못 해서 300만명 죽었다는 대목에서 반성이 아닌 아쉬움이 느껴졌음 미국 유럽 국가들을 일본을 압제하는 서구열강 처럼 ,0
1, 이게 재밌다는 사람들은 매니아들인가 일반인은 전혀 공감이 안됀다 ,0
1, 평점을 후하게 준 자들의 닉네임을 보면 그 이유를 알 수 있다 ,0
4, 미국이 고질라 때문에 도쿄에 핵투하 할려고 하니까 일본이 모든 방법을 동원해서 고질라를 쓰러트린다는 유치한 이야기 고질라가 등돌기 입 꼬리로 레이저 빔을 난사하는 장면에선 폭소 일본 최고 에니메이션 감독의 수준에 ,0
1, 일본 덕후들의 감성평점 존중합니다 ,0
3, 괴수의 눈이 동태눈X 같습니다 이렇게 솔직한 괴수 영화는 처음인듯 ,0
7, 이거 보니까 일부러 허접하게 만든듯 원작 고질라를 추억하면서 만든 영화인듯하다 원작을 보신분들이라면 추억을 처음 보는 분들은 허접하게 보일듯한 영화 ,1
